Query	Reference	Core	Accessory
IN01	IN02	1.394107052021809e-12	0.00022106576341507367
IN01	IN03	0.03903624092201785	0.24247086929623962
IN01	IN04	0.033127144337451564	0.22437363368647367
IN01	IN05	0.009471742789546211	0.15006401160424987
IN01	IN06	0.037001414232217145	0.26287386860453155
IN01	IN07	0.03868652994675481	0.2476466711151063
IN01	IN08	0.018152102553689264	0.19080665911118855
IN01	IN09	0.038094590257206185	0.23962859718639684
IN01	ST2747	0.03224230035445286	0.20704871961800397
IN01	ST2747a	0.03213342296934729	0.20713031807613802
IN01	ST2747an	0.032460475946627376	0.21034455360842252
IN01	ST540	0.017643004401330376	0.1649553413968753
IN01	ST540a	0.017683104981189968	0.16181090526414932
IN01	ST540an	0.017897309507653558	0.16170210487801295
IN01	BR02	0.010355641351868172	0.1446901923913002
IN01	BR03	0.010349300534840844	0.14490482845440178
IN01	BR07	0.010372487229492577	0.15712850560707536
IN01	BR10	0.012003724565943563	0.1628007948830661
IN01	BR12	0.013059424203198167	0.1591186393439632
IN01	BR14	0.037780262278676036	0.22826017682545507
IN01	BR25	0.01086178196308174	0.14802008737138583
IN01	BR29	0.01141697741622083	0.17740286998312949
IN01	BR64	0.01162603796960493	0.17550811177427428
IN01	5CRE51	0.020670185756860193	0.24823965708580187
IN01	UCI57	0.033091690292566533	0.2007713268976309
IN01	UCI58	0.033401480670674055	0.2012397735193302
IN01	UCI65	0.03310829852500141	0.2142396503300632
IN01	UCI51	0.037112477228394614	0.267930391776948
IN01	UCI53	0.012923284217296382	0.17143916022202987
IN01	UCI66	0.013531098444255263	0.18359394909061566
IN01	MGH58	0.03248684663856183	0.22174042634817925
IN01	MRSN17749	0.037817545736442026	0.24225398213718696
IN01	MRSN22624	0.038014292095162494	0.2527160213007241
IN01	URMC09	0.032496131154443164	0.21971249837119544
IN01	URMC13	0.032824583286943265	0.22026221194550366
IN01	URMC31	0.03647525316749989	0.26554465147251416
IN01	URMC34	0.037219412706511745	0.17261933347319647
IN01	URMC51	0.03366247383084353	0.21680998806242635
IN01	URMC52	0.03351346513892206	0.21882027739335375
IN01	URMC53	0.033560213281644824	0.21620682127781388
IN01	URMC68	0.03750752406131064	0.2570030521339359
IN01	URMC83	0.03280274820875595	0.21112503616859746
IN01	URMC85	0.032840643779095235	0.21144233843374238
IN01	URMC91	0.037526355861985605	0.2517523693319612
IN01	URMC92	0.03330043948364092	0.2248338453681683
IN01	URMC94	0.033316963499306684	0.2324686309610552
IN01	URMC95	0.033585673331980814	0.21994142814926854
IN01	URMC97	0.0336739277060526	0.22338138284356823
IN01	URMC01	0.013433460905235894	0.1561597890285641
IN01	URMC02	0.010364254443898324	0.14261127807223128
IN01	URMC03	0.03804708530833978	0.2619254477962185
IN01	URMC04	0.031925038608729195	0.21783046148617025
IN01	URMC06	0.03739400106785773	0.2535268047311702
IN01	URMC07	0.03836825425206514	0.24030658696509177
IN01	URMC08	0.011603896748547782	0.13051429826323058
IN01	URMC105	0.038529121910227726	0.2453224573021192
IN01	URMC106	0.01935221795291686	0.17189445616442756
IN01	URMC107	0.032012644789770284	0.21306949696116018
IN01	URMC108	0.03740065978578544	0.25025098579129645
IN01	URMC109	0.03769225835051393	0.2537468465686018
IN01	URMC10	0.03786968710253358	0.2499665313646977
IN01	URMC110	0.03517225637731891	0.18804599765218266
IN01	URMC111	0.03771735165030632	0.2652444151955087
IN01	URMC112	0.03826981232470528	0.2636350107154305
IN01	URMC12	0.03775845842277825	0.23613849806494636
IN01	URMC14	0.03764195191172315	0.2620264084690126
IN01	URMC16	0.03729845181407587	0.251003369798089
IN01	URMC17	0.03783828190139782	0.2491380093599972
IN01	URMC18	0.020586639602923507	0.18024641073180592
IN01	URMC19	0.037891974186896715	0.2468996446943047
IN01	URMC20	0.03798107746939172	0.25288062587619
IN01	URMC21	0.03775957166469812	0.23208803059241057
IN01	URMC22	0.03718994130461528	0.2565052534893797
IN01	URMC23	0.03765687607081791	0.24820233750925924
IN01	URMC24	0.03721611581491924	0.2621641079561875
IN01	URMC25	0.03787326303106753	0.24719781216515702
IN01	URMC26	0.033811638314882986	0.2166334597310401
IN01	URMC28	0.03685156849639615	0.2513608374963715
IN01	URMC30	0.038228944021378	0.2609069229272787
IN01	URMC32	0.03797825959999579	0.2480536536227842
IN01	URMC33	0.0376412787090753	0.23989219657759386
IN01	URMC35	0.03227384985540238	0.21163483565989494
IN01	URMC36	0.03671058824390383	0.24744171648454205
IN01	URMC37	0.038475344333261496	0.2469817231325866
IN01	URMC39	0.0326606031015515	0.21190775211925883
IN01	URMC40	0.03915619988963359	0.24783505411982032
IN01	URMC41	0.014325789761720498	0.18823358143341085
IN01	URMC42	0.03604771497016135	0.19010831140867057
IN01	URMC43	0.03214848271773185	0.21694613359266013
IN01	URMC46	0.019367578575868016	0.16884420589882942
IN01	URMC48	0.037916898713565295	0.2669869588189656
IN01	URMC49	0.03172249566218288	0.23039022442925572
IN01	URMC50	0.033182687548781176	0.17913870404982035
IN01	URMC55	0.035962584053287006	0.19171524278345475
IN01	URMC56	0.03820968024783	0.25513254746072955
IN01	URMC57	0.017214599371983108	0.16785307452239084
IN01	URMC58	0.037962255306891124	0.24697234259854917
IN01	URMC59	0.03729962270650433	0.2604407217687347
IN01	URMC60	0.03214117849687792	0.22432860955962675
IN01	URMC61	0.037895740388581456	0.24919280684484513
IN01	URMC62	0.010881577343375137	0.1472452239906329
IN01	URMC63	0.0374432346420388	0.26800440143100435
IN01	URMC64	0.03807550215880784	0.2563836435648871
IN01	URMC65	0.019117508859708976	0.16226715918884071
IN01	URMC66	0.016887631730230446	0.1665350775043406
IN01	URMC67	0.037849016764924026	0.24325030309236184
IN01	URMC69	0.03781570548300428	0.24286994084091695
IN01	URMC70	0.030914890697157804	0.21643500546266414
IN01	URMC71	0.032161873804901764	0.22502947433377374
IN01	URMC72	0.011937519407164698	0.1407227329279429
IN01	URMC73	0.01805555517813573	0.19857246515736782
IN01	URMC74	0.037391251633244194	0.26881875922416565
IN01	URMC76	0.038796684316906416	0.24746611299390886
IN01	URMC77	0.037941230449563434	0.2547800430622129
IN01	URMC78	0.037846575117753245	0.25549960033833075
IN01	URMC79	0.01358706310918889	0.15826281406905185
IN01	URMC80	0.0379816463143996	0.2544541035782494
IN01	URMC81	0.03754150285587199	0.2637082668931048
IN01	URMC82	0.03780785557107591	0.2570425928683867
IN01	URMC84	0.0323770376707454	0.21379558539153154
IN01	URMC86	0.037955751658426684	0.2667194514019917
IN01	URMC87	0.037952962516801025	0.24436930015048242
IN01	URMC88	0.018101877469762218	0.18778354648137074
IN01	URMC89	0.03740744309369204	0.2539211851364358
IN01	URMC90	0.03764957604213992	0.2677013618632953
IN01	URMC93	0.03761059417817958	0.23655086106522305
IN01	URMC96	0.03265667364049496	0.22080323972616933
IN01	BWH199	0.03772916707955576	0.24209794862309764
IN01	BWH237	0.020657861983414127	0.19692659619210695
IN01	BWH259	0.019311680191152814	0.20506665438578497
IN01	BWH403	0.03814559517301441	0.24242331935237238
IN01	BWH407	0.038240394217981866	0.24182313618804385
IN01	BWH475	0.01011708910258624	0.17113865432623154
IN01	BWH103	0.03196042134649579	0.21980505662834282
IN01	BWH190	0.013432695041606046	0.20776028149676984
